INPUT_FILE_NAME,MR,NESW,DATETIME,GP,RNC,ManagedElement,ENodeBFunction,EUtranCellFDD,UtranFreqRelation,UtranCellRelation,PMHOEXEATT,PMHOEXEATTCSFB,PMHOEXEATTSRVCC,PMHOEXESUCC,PMHOEXESUCCCSFB,PMHOEXESUCCLB,PMHOEXESUCCSRVCC,PMHOEXESUCCSRVCCLB,PMHOPREPATT,PMHOPREPATTCSFB,PMHOPREPATTLB,PMHOPREPATTSRVCC,PMHOPREPATTSRVCCEXTIAT,PMHOPREPATTSRVCCLB,PMHOPREPSUCC,PMHOPREPSUCCCSFB,PMHOPREPSUCCSRVCC
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_1_L26,10713,25001-2228-1417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_2_L26,10713,25001-2228-12189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_1_L26,10713,2501-2228-4718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_2_L26,10713,2501-2228-12188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_1_L18,10737,2501-2228-21998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_1_L18,10713,2501-2228-1997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_3_L26,10713,2501-2228-8667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_1_L26,10737,2501-2228-21457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_1_L26,10762,2501-2228-62189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_2_L18,10762,2501-2228-62187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_1_L26,10713,2501-2228-12187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ERAN3GNDB94_20201218133919_202012181315_1330_0500_RAN_59_BTS_59_01218_ULN_statsfile.bin",,"CXP9024418_6 R80H23",20201218133000,900,"RAN_59",BTS_59_01218_ULN,1,CELL_59_01218_1_L18,10762,2501-2228-31997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
